file_Size_bytes	number_of_files	bandwidth_Gbps	rtt_ms	buffer_size_bytes	p	cc	pp	fast	throughput_MByteps	time_sec	start_time_mm_dd_yyyy_hh_mm
209715259	69	10	39	49920000	1	1	1	0	47.266000703	291.964704037	05:20:2016-11:28
209715259	69	10	39	49920000	1	1	1	1	55.5894521887	248.248604059	05:20:2016-11:32
209715259	69	10	39	49920000	1	1	2	0	63.2382332862	218.222476959	05:20:2016-11:36
209715259	69	10	39	49920000	1	1	2	1	47.2291785357	292.192333937	05:20:2016-11:41
209715259	69	10	39	49920000	1	1	4	0	53.4722539504	258.077841997	05:20:2016-11:45
209715259	69	10	39	49920000	1	1	4	1	58.1379795457	237.36641717	05:20:2016-11:49
209715259	69	10	39	49920000	1	1	8	0	56.7711460025	243.081298828	05:20:2016-11:53
209715259	69	10	39	49920000	1	1	8	1	52.7129106428	261.795521021	05:20:2016-11:58
209715259	69	10	39	49920000	1	1	16	0	69.6089825368	198.250332117	05:20:2016-12:01
209715259	69	10	39	49920000	1	1	16	1	78.5319043535	175.72480917	05:20:2016-12:04
209715259	69	10	39	49920000	1	1	32	0	64.1316071516	215.182567835	05:20:2016-12:07
209715259	69	10	39	49920000	1	1	32	1	60.0956670866	229.633924961	05:20:2016-12:11
209715259	69	10	39	49920000	1	2	1	0	92.5577803462	149.096098185	05:20:2016-12:14
209715259	69	10	39	49920000	1	2	1	1	83.6031709857	165.065556049	05:20:2016-12:16
209715259	69	10	39	49920000	1	2	2	0	89.5115023697	154.170174122	05:20:2016-12:19
209715259	69	10	39	49920000	1	2	2	1	84.0656279646	164.157506943	05:20:2016-12:22
209715259	69	10	39	49920000	1	2	4	0	82.0233270042	168.244868994	05:20:2016-12:25
209715259	69	10	39	49920000	1	2	4	1	89.2794034105	154.570969105	05:20:2016-12:27
209715259	69	10	39	49920000	1	2	8	0	87.6698073513	157.408854008	05:20:2016-12:30
209715259	69	10	39	49920000	1	2	8	1	86.5012098247	159.535386086	05:20:2016-12:32
209715259	69	10	39	49920000	1	2	16	0	90.3704753205	152.704783916	05:20:2016-12:35
209715259	69	10	39	49920000	1	2	16	1	80.1834712446	172.105344057	05:20:2016-12:38
209715259	69	10	39	49920000	1	2	32	0	53.3935720247	258.458151102	05:20:2016-12:42
209715259	69	10	39	49920000	1	2	32	1	73.999718698	186.487248182	05:20:2016-12:45
209715259	69	10	39	49920000	1	4	1	0	123.73426511	111.529364109	05:20:2016-12:47
209715259	69	10	39	49920000	1	4	1	1	125.407842518	110.040996075	05:20:2016-12:49
209715259	69	10	39	49920000	1	4	2	0	130.326541249	105.887901068	05:20:2016-12:51
