file_size,number_of_files,bandwidth,rtt,buffer_size,p,cc,pp,throughput,time,source,destination
256069,1000,10000,0.04,33554432,16,2,1,104.4101008,18.71141195,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,16,4,4,353.1203433,5.664626837,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,2,32,1,873.8249327999999,4.687804937,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,2,2,16,234.31808560000002,4.370574951,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,2,8,2,225.10954500000003,4.443603039,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,4,16,8,123.93572590000001,4.035689116,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,4,16,16,251.9368462,3.969914913,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,1,16,16,298.0924711,3.3552699089999996,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,1,4,1,1659.3732699999998,78.98891211,Stampede,Gordon/Oasis
512072,512,10000,0.04,33554432,32,4,16,388.8085575,5.1446869369999995,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,4,4,2,385.9816228,5.306402922,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,16,4,1044.17186,7.662136792999999,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,32,16,1,6111.8784049999995,21.44549799,Stampede,Gordon/Oasis
256069,1000,10000,0.04,33554432,16,1,16,149.8625793,13.03635788,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,8,2,16,224.8531739,4.55457592,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,32,1,8,98.27333679,5.088874817,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,8,16,32,520.5247821,7.869500876,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,8,4,2,60.25768991,8.300354958,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,2,4,32,709.8301203999999,5.770792961000001,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,1,8,199.93884939999998,9.771306037999999,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,2,1,2,63.34670755,3.948060036,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,4,2,8,579.6327183,13.80278015,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,32,4,16,2023.2298309999999,64.78360415,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,1,4,32,1527.178925,85.82629299,Stampede,Gordon/Oasis
104857664,64,10000,0.04,33554432,1,16,16,622.3145533,82.27359486,Stampede,Gordon/Oasis
1048641,1000,10000,0.04,33554432,1,2,1,505.1768847,15.83709502,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,16,8,4,589.0098268999999,6.954508066,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,8,1,320.58880510000006,6.388782024,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,16,4,1,97.80532119,5.113873959,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,16,2,427.3656289,4.5714302060000005,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,8,16,32,6253.158194,20.96097016,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,2,2,16,1815.7182070000001,72.18747306,Stampede,Gordon/Oasis
1048656,256,10000,0.04,33554432,1,8,32,441.785852,4.636123896,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,8,1,363.947958,5.368026972,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,4,16,2,5391.152177,24.31247497,Stampede,Gordon/Oasis
512080,256,10000,0.04,33554432,2,8,16,290.6199215,3.441528082,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,1,32,1,3274.416774,40.02916479,Stampede,Gordon/Oasis
1048672,128,10000,0.04,33554432,32,4,2,189.1744031,5.413532019,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,8,1,8,67.52754796,3.703619957,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,16,32,4,722.4088011,5.670341969,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,8,2,287.74318819999996,6.789644957,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,4,2,4,641.9720807,6.380820036,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,1,32,4,290.6917276,3.441078901,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,2,1,16,111.48142279999999,4.486491919,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,2,1,16,141.22482309999998,3.5411651139999996,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,1,32,8,141.87918090000002,3.524863005,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,4,8,16,1391.57383,36.79297495,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,16,2,16,482.00601320000004,8.105304002999999,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,2,4,16,86.26847042,2.899061918,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,32,1,4,158.6282032,12.31597614,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,2,2,8,284.3586484,3.601449966,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,32,32,279.4976343,3.578886986,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,32,8,4,233.69975580000002,4.28023696,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,32,32,8,7008.4900290000005,18.701934100000003,Stampede,Gordon/Oasis
1048656,256,10000,0.04,33554432,32,32,32,397.8797915,5.147713184,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,2,8,32,759.6694917,67.39781404,Stampede,Gordon/Oasis
256080,256,10000,0.04,33554432,8,1,2,78.77638599,6.349161147999999,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,2,32,67.33892547,3.7139959339999997,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,8,1,374.8505861,5.463970184,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,16,8,16,1010.0167289999999,7.921201944,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,2,2,8,70.94976494,3.5250120160000002,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,16,16,4,236.25239390000002,4.234028816,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,2,2,32,428.3927147,4.7810659410000005,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,2,8,1,431.87946439999996,4.631651878,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,32,1,4,583.6454255,13.70789504,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,2,2,16,408.86600269999997,5.009401083,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,16,1,63.08594314,3.964379072,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,32,8,16,187.4817122,5.462437153,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,2,32,213.38614840000002,4.687741995,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,2,4,144.94534819999998,3.450714827,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,4,8,4,993.3904035,8.053798914,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,32,16,1,495.39335719999997,4.134446859,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,16,8,2,916.5715398,8.728798151,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,32,1,2,91.50514699,5.4652781489999995,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,32,8,8,216.4929912,4.619850874,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,4,2,2,330.23769310000006,11.83027506,Stampede,Gordon/oasis
